outbreak_id,disease,report_date,country,state,district,cases_reported,deaths,severity,confirmed,source_url,notes
OUT-IND-00001,Cholera,2025-07-25 02:43:04,India,Tamil Nadu,Salem,2385,98,moderate,True,https://news.example/1,Reported by PHC
OUT-IND-00002,Scrub Typhus,2025-10-06,India,Assam,Tezpur,2742,156,low,False,,Reported by PHC
OUT-IND-00003,Measles,2025-04-05,India,Tamil Nadu,Chennai,4906,369,low,True,https://news.example/3,
OUT-IND-00004,COVID-19,22-03-2025,India,Maharashtra,Mumbai,309,23,low,False,https://news.example/4,
OUT-IND-00005,Dengue,2025-12-09,India,Delhi,South Delhi,4436,110,low,Unknown,https://news.example/5,
OUT-IND-00006,COVID-19,2024-06-04,India,Assam,Tezpur,404,32,high,False,,
OUT-IND-00007,Hepatitis A,28-05-2023,India,Rajasthan,Jaipur,2734,112,moderate,False,https://news.example/7,
OUT-IND-00008,Scrub Typhus,2024-10-30,India,Kerala,Kozhikode,3415,176,low,True,https://news.example/8,Spike after monsoon
OUT-IND-00009,COVID-19,2025-04-05,India,Gujarat,Vadodara,1129,6,moderate,Unknown,,Lab confirmed cases
OUT-IND-00010,Kala-azar,2023-05-09,India,Assam,Tezpur,1255,44,low,Unknown,https://news.example/10,
OUT-IND-00011,Cholera,2023-12-16 11:20:46,India,Odisha,Bhubaneswar,1782,5,moderate,False,https://news.example/11,Reported by PHC
OUT-IND-00012,Dengue,2024-01-09,India,Delhi,East Delhi,1783,94,low,Unknown,https://news.example/12,Reported by PHC
OUT-IND-00013,Cholera,15-02-2023,India,Gujarat,Bhavnagar,2814,200,moderate,Unknown,https://news.example/13,Spike after monsoon
OUT-IND-00014,Kala-azar,2025-02-06,India,Gujarat,Rajkot,1255,88,low,True,https://news.example/14,Under investigation
OUT-IND-00015,Hepatitis A,2025-05-29 19:34:11,India,Karnataka,Bengaluru,4260,125,low,Unknown,https://news.example/15,Under investigation
OUT-IND-00016,Influenza,2024-12-18,India,Gujarat,Rajkot,2616,9,low,False,https://news.example/16,Lab confirmed cases
OUT-IND-00017,COVID-19,2024-03-31 13:34:30,India,Bihar,Bhagalpur,4036,210,moderate,True,https://news.example/17,
OUT-IND-00018,Dengue,2025-09-24,India,Assam,Guwahati,1975,28,low,False,https://news.example/18,
OUT-IND-00019,Influenza,2023-08-13,India,Bihar,Patna,2729,118,low,True,https://news.example/19,Under investigation
OUT-IND-00020,Cholera,2024-06-21,India,Bihar,Patna,3963,180,high,False,https://news.example/20,Reported by PHC
OUT-IND-00021,Kala-azar,2024-07-07,India,Karnataka,Mangalore,3997,201,low,Unknown,https://news.example/21,Cluster in school
OUT-IND-00022,COVID-19,2023-10-24,India,Delhi,South Delhi,3055,4,moderate,Unknown,https://news.example/22,Reported by PHC
OUT-IND-00023,Cholera,2025-10-24,India,Gujarat,Vadodara,3349,79,moderate,Unknown,https://news.example/23,Reported by PHC
OUT-IND-00024,Hepatitis A,2023-12-10,India,Karnataka,Hubli,2474,76,low,True,https://news.example/24,Under investigation
OUT-IND-00025,Kala-azar,05-06-2024,India,Bihar,Patna,4037,250,moderate,Unknown,,
OUT-IND-00026,Scrub Typhus,2024-11-27 16:45:13,India,Odisha,Rourkela,4091,190,moderate,False,,
OUT-IND-00027,COVID-19,2023-06-09,India,Kerala,Thiruvananthapuram,256,1,moderate,False,https://news.example/27,Hospital admissions rising
OUT-IND-00028,Kala-azar,2025-09-28,India,Assam,Guwahati,4894,270,low,Unknown,,
OUT-IND-00029,Kala-azar,2025-05-18,India,Assam,Dibrugarh,2048,50,moderate,False,https://news.example/29,Reported by PHC
OUT-IND-00030,Influenza,2025-04-14,India,Odisha,Sambalpur,474,8,low,True,https://news.example/30,Spike after monsoon
OUT-IND-00031,Influenza,2024-02-02,India,Uttar Pradesh,Lucknow,610,3,moderate,False,,
OUT-IND-00032,Dengue,2024-04-05,India,West Bengal,Siliguri,4652,32,high,False,https://news.example/32,
OUT-IND-00033,Measles,2025-07-23,India,Bihar,Patna,1871,111,moderate,Unknown,https://news.example/33,Hospital admissions rising
OUT-IND-00034,Scrub Typhus,2025-04-30,India,Uttar Pradesh,Kanpur,3858,135,moderate,True,,Under investigation
OUT-IND-00035,Kala-azar,2023-08-01,India,West Bengal,Bardhaman,1035,25,moderate,True,,Lab confirmed cases
OUT-IND-00036,Kala-azar,2023-06-19 18:31:50,India,Delhi,East Delhi,4478,75,moderate,Unknown,https://news.example/36,Hospital admissions rising
OUT-IND-00037,Cholera,2024-07-12,India,Gujarat,Vadodara,3050,46,low,False,https://news.example/37,
OUT-IND-00038,Cholera,2024-12-02,India,Odisha,Sambalpur,3130,48,low,True,https://news.example/38,
OUT-IND-00039,Measles,2024-03-19,India,Odisha,Sambalpur,3514,51,low,False,https://news.example/39,
OUT-IND-00040,Measles,2023-06-02,India,Delhi,Central Delhi,4279,124,low,True,https://news.example/40,
OUT-IND-00041,Dengue,2025-03-08,India,Rajasthan,Jodhpur,14,1,high,False,https://news.example/41,Spike after monsoon
OUT-IND-00042,Hepatitis A,2025-06-10,India,West Bengal,Siliguri,4453,238,low,Unknown,https://news.example/42,Spike after monsoon
OUT-IND-00043,COVID-19,2025-05-02,India,Odisha,Bhubaneswar,769,2,low,Unknown,https://news.example/43,Hospital admissions rising
OUT-IND-00044,Scrub Typhus,09-03-2025,India,Kerala,Thrissur,1822,41,low,False,https://news.example/44,
OUT-IND-00045,Scrub Typhus,2023-08-12,India,Gujarat,Vadodara,683,20,moderate,Unknown,https://news.example/45,Under investigation
OUT-IND-00046,Hepatitis A,2023-03-09 23:45:48,India,Tamil Nadu,Salem,3986,117,low,False,https://news.example/46,Spike after monsoon
OUT-IND-00047,Dengue,2023-09-10,India,Bihar,Patna,3062,25,low,Unknown,,Hospital admissions rising
OUT-IND-00048,Kala-azar,2023-12-25,India,Gujarat,Vadodara,2721,17,low,Unknown,https://news.example/48,
OUT-IND-00049,Measles,2023-01-08,India,Delhi,East Delhi,927,3,low,Unknown,https://news.example/49,Reported by PHC
OUT-IND-00050,Dengue,12-02-2024,India,Assam,Dibrugarh,3016,193,low,False,,Under investigation
OUT-IND-00051,Kala-azar,2025-07-07,India,West Bengal,Howrah,2673,122,low,False,https://news.example/51,Cluster in school
OUT-IND-00052,Kala-azar,30-11-2023,India,Kerala,Thiruvananthapuram,2493,195,low,Unknown,,Spike after monsoon
OUT-IND-00053,Cholera,2025-09-14,India,Rajasthan,Alwar,98,5,moderate,Unknown,https://news.example/53,Hospital admissions rising
OUT-IND-00054,Scrub Typhus,2024-01-29,India,Gujarat,Ahmedabad,3366,29,moderate,False,,Reported by PHC
OUT-IND-00055,Cholera,2023-07-10 08:34:51,India,Maharashtra,Nagpur,1900,142,low,True,,Hospital admissions rising
OUT-IND-00056,Hepatitis A,2025-04-06,India,Rajasthan,Bikaner,3569,4,low,True,https://news.example/56,Lab confirmed cases
OUT-IND-00057,Hepatitis A,2023-06-13,India,Bihar,Gaya,3871,22,low,True,https://news.example/57,Hospital admissions rising
OUT-IND-00058,Hepatitis A,2024-06-24 10:07:49,India,Uttar Pradesh,Agra,3,0,moderate,True,https://news.example/58,Lab confirmed cases
OUT-IND-00059,Kala-azar,2023-08-28,India,Odisha,Cuttack,2822,219,low,False,,Spike after monsoon
OUT-IND-00060,Kala-azar,2025-09-04,India,Assam,Silchar,962,6,low,Unknown,https://news.example/60,Reported by PHC
OUT-IND-00061,Kala-azar,2025-05-06,India,Tamil Nadu,Madurai,1228,58,low,False,https://news.example/61,
OUT-IND-00062,Scrub Typhus,2024-02-21,India,Tamil Nadu,Chennai,4988,350,low,False,https://news.example/62,Spike after monsoon
OUT-IND-00063,Hepatitis A,2024-01-08 20:45:55,India,Odisha,Sambalpur,3341,265,low,False,https://news.example/63,
OUT-IND-00064,Measles,2025-06-18,India,Gujarat,Rajkot,3838,105,low,False,,Cluster in school
OUT-IND-00065,Measles,2023-05-23,India,Odisha,Puri,700,28,moderate,False,,Under investigation
OUT-IND-00066,Measles,2025-04-13,India,Delhi,Central Delhi,1376,20,low,Unknown,https://news.example/66,
OUT-IND-00067,COVID-19,2024-04-15,India,Karnataka,Belgaum,3106,,low,Unknown,https://news.example/67,Hospital admissions rising
OUT-IND-00068,COVID-19,2023-01-05,India,Odisha,Cuttack,2817,48,low,Unknown,https://news.example/68,Reported by PHC
OUT-IND-00069,Kala-azar,2025-11-01,India,Kerala,Kochi,3952,24,low,False,https://news.example/69,
OUT-IND-00070,COVID-19,07-09-2025,India,Tamil Nadu,Salem,2791,29,high,Unknown,https://news.example/70,Under investigation
OUT-IND-00071,Dengue,2024-12-17 04:33:51,India,Delhi,North Delhi,53,3,low,False,https://news.example/71,
OUT-IND-00072,Measles,2025-05-18,India,Gujarat,Bhavnagar,3659,14,moderate,True,,Under investigation
OUT-IND-00073,Measles,2023-06-03 01:57:57,India,Kerala,Kochi,763,45,high,Unknown,https://news.example/73,Hospital admissions rising
OUT-IND-00074,Kala-azar,10-12-2025,India,Rajasthan,Bikaner,1307,66,low,Unknown,,Cluster in school
OUT-IND-00075,Dengue,2023-08-20,India,West Bengal,Darjeeling,4731,153,low,True,,Cluster in school
OUT-IND-00076,Measles,2023-02-09,India,Gujarat,Ahmedabad,339,15,low,Unknown,,
OUT-IND-00077,Measles,18-06-2023,India,Odisha,Bhubaneswar,4007,187,high,True,https://news.example/77,Under investigation
OUT-IND-00078,Kala-azar,24-04-2023,India,Bihar,Patna,2205,33,moderate,False,https://news.example/78,Spike after monsoon
OUT-IND-00079,Kala-azar,2025-07-05,India,Delhi,East Delhi,1400,29,moderate,False,,Under investigation
OUT-IND-00080,Scrub Typhus,2024-01-22,India,Tamil Nadu,Salem,4693,259,high,True,https://news.example/80,Lab confirmed cases
OUT-IND-00081,Cholera,2025-05-22,India,Rajasthan,Jaipur,721,21,low,Unknown,,Cluster in school
OUT-IND-00082,Hepatitis A,2024-12-01,India,Tamil Nadu,Salem,817,58,low,False,,Spike after monsoon
OUT-IND-00083,Kala-azar,2023-09-28,India,Assam,Jorhat,1058,73,low,True,https://news.example/83,Cluster in school
OUT-IND-00084,Kala-azar,09-04-2024,India,Delhi,South Delhi,4630,1,moderate,Unknown,https://news.example/84,Cluster in school
OUT-IND-00085,Cholera,2023-07-31,India,Rajasthan,Jodhpur,3048,207,low,False,https://news.example/85,Under investigation
OUT-IND-00086,Hepatitis A,2023-12-04 14:21:53,India,Tamil Nadu,Salem,3765,56,high,False,https://news.example/86,Reported by PHC
OUT-IND-00087,Hepatitis A,2025-04-23,India,Karnataka,Belgaum,1068,10,low,Unknown,,
OUT-IND-00088,Kala-azar,27-04-2024,India,Odisha,Puri,3558,236,low,False,https://news.example/88,
OUT-IND-00089,COVID-19,2025-08-05,India,Tamil Nadu,Salem,1350,48,low,True,https://news.example/89,Hospital admissions rising
OUT-IND-00090,COVID-19,30-03-2023,India,Karnataka,Belgaum,4681,115,low,Unknown,https://news.example/90,
OUT-IND-00091,Scrub Typhus,2025-05-07 20:01:46,India,Gujarat,Bhavnagar,409,0,moderate,False,https://news.example/91,
OUT-IND-00092,Cholera,2023-12-10,India,Delhi,North Delhi,1134,33,low,True,,
OUT-IND-00093,Cholera,2023-05-01 21:21:09,India,Odisha,Rourkela,3824,58,moderate,True,https://news.example/93,
OUT-IND-00094,Kala-azar,2024-11-03,India,Tamil Nadu,Tiruchirappalli,105,1,low,True,https://news.example/94,
OUT-IND-00095,Scrub Typhus,2024-07-12,India,Assam,Tezpur,2509,147,low,True,https://news.example/95,Lab confirmed cases
OUT-IND-00096,Measles,12-09-2025,India,Bihar,Muzaffarpur,676,15,moderate,True,https://news.example/96,Cluster in school
OUT-IND-00097,Dengue,10-08-2025,India,Odisha,Rourkela,1936,2,low,True,,
OUT-IND-00098,Kala-azar,2025-06-04,India,Odisha,Bhubaneswar,3714,159,low,False,https://news.example/98,Cluster in school
OUT-IND-00099,Dengue,18-04-2023,India,Uttar Pradesh,Varanasi,2328,63,low,Unknown,https://news.example/99,Cluster in school
OUT-IND-00100,Influenza,2025-06-26 08:36:14,India,Odisha,Puri,1610,59,moderate,False,https://news.example/100,
OUT-IND-00101,Cholera,11-01-2024,India,Odisha,Sambalpur,2841,120,low,True,https://news.example/101,
OUT-IND-00102,Measles,2023-02-10 07:17:21,India,Karnataka,Mysuru,2037,53,low,True,https://news.example/102,Spike after monsoon
OUT-IND-00103,Dengue,2024-06-03,India,Tamil Nadu,Tiruchirappalli,4670,97,moderate,False,,
OUT-IND-00104,Kala-azar,2025-03-29,India,Uttar Pradesh,Lucknow,2037,83,low,True,https://news.example/104,
OUT-IND-00105,COVID-19,2025-10-18,India,Uttar Pradesh,Meerut,4815,136,moderate,Unknown,,
OUT-IND-00106,Dengue,2024-09-17,India,Uttar Pradesh,Agra,4864,190,moderate,True,,Cluster in school
OUT-IND-00107,COVID-19,2023-06-04,India,Gujarat,Bhavnagar,2044,88,high,False,https://news.example/107,Cluster in school
OUT-IND-00108,Scrub Typhus,2023-05-21,India,Assam,Silchar,3854,254,moderate,False,https://news.example/108,Spike after monsoon
OUT-IND-00109,Cholera,2023-12-22 20:41:08,India,West Bengal,Darjeeling,2275,4,moderate,False,,
OUT-IND-00110,COVID-19,16-01-2025,India,Bihar,Purnia,3544,67,low,True,https://news.example/110,
OUT-IND-00111,COVID-19,2024-10-05,India,Delhi,Central Delhi,3158,91,moderate,False,https://news.example/111,Hospital admissions rising
OUT-IND-00112,Scrub Typhus,2025-05-15,India,Karnataka,Mysuru,4139,303,low,True,,Reported by PHC
OUT-IND-00113,COVID-19,13-04-2023,India,Odisha,Bhubaneswar,4915,262,low,Unknown,,
OUT-IND-00114,Kala-azar,2025-03-01 17:33:07,India,West Bengal,Kolkata,3340,242,moderate,Unknown,https://news.example/114,Under investigation
OUT-IND-00115,Dengue,2023-04-04 20:02:42,India,West Bengal,Bardhaman,4844,204,moderate,Unknown,https://news.example/115,Hospital admissions rising
OUT-IND-00116,COVID-19,16-11-2023,India,Maharashtra,Nashik,1283,92,moderate,Unknown,,Lab confirmed cases
OUT-IND-00117,Influenza,2024-01-31,India,Gujarat,Surat,2882,4,low,True,https://news.example/117,Lab confirmed cases
OUT-IND-00118,Influenza,2025-06-27 16:48:38,India,Maharashtra,Nashik,4785,291,low,Unknown,https://news.example/118,Reported by PHC
OUT-IND-00119,Kala-azar,2023-06-12,India,West Bengal,Siliguri,3939,18,high,False,https://news.example/119,Lab confirmed cases
OUT-IND-00120,Scrub Typhus,22-11-2024,India,Kerala,Thrissur,828,38,low,True,https://news.example/120,Under investigation
OUT-IND-00121,Kala-azar,2024-05-24 02:32:03,India,Karnataka,Mangalore,3596,75,low,True,,Under investigation
OUT-IND-00122,Hepatitis A,2024-03-14,India,West Bengal,Howrah,3848,246,moderate,True,https://news.example/122,
OUT-IND-00123,Dengue,26-11-2023,India,Kerala,Thrissur,883,70,low,True,,
OUT-IND-00124,Influenza,2024-08-17,India,Delhi,North Delhi,195,10,low,True,https://news.example/124,Lab confirmed cases
OUT-IND-00125,COVID-19,2025-04-02,India,Assam,Jorhat,1941,122,low,False,,
OUT-IND-00126,Influenza,26-03-2024,India,Karnataka,Belgaum,487,,low,False,,Cluster in school
OUT-IND-00127,Hepatitis A,2024-07-23,India,Maharashtra,Nashik,4655,329,low,False,https://news.example/127,
OUT-IND-00128,Dengue,2025-01-05,India,Odisha,Cuttack,4962,80,low,True,https://news.example/128,Reported by PHC
OUT-IND-00129,Cholera,2023-09-18,India,Maharashtra,Pune,1063,36,low,False,https://news.example/129,Hospital admissions rising
OUT-IND-00130,Dengue,2023-06-11,India,Delhi,North Delhi,4249,22,moderate,True,https://news.example/130,
OUT-IND-00131,COVID-19,2025-04-25,India,Uttar Pradesh,Lucknow,356,25,low,True,,Cluster in school
OUT-IND-00132,COVID-19,2023-03-10,India,Tamil Nadu,Tiruchirappalli,3127,106,low,True,https://news.example/132,
OUT-IND-00133,Influenza,2023-11-15,India,Tamil Nadu,Madurai,1312,33,moderate,True,https://news.example/133,Under investigation
OUT-IND-00134,Dengue,15-05-2024,India,Odisha,Bhubaneswar,1923,76,low,True,https://news.example/134,Spike after monsoon
OUT-IND-00135,Dengue,2025-02-17,India,Odisha,Cuttack,4811,134,moderate,Unknown,https://news.example/135,Lab confirmed cases
OUT-IND-00136,Measles,2023-02-20,India,West Bengal,Kolkata,758,36,moderate,True,https://news.example/136,Under investigation
OUT-IND-00137,Dengue,2025-02-13 21:38:09,India,Odisha,Rourkela,2489,104,low,Unknown,https://news.example/137,
OUT-IND-00138,Kala-azar,2023-06-10,India,Karnataka,Mangalore,1623,26,low,Unknown,https://news.example/138,
OUT-IND-00139,Scrub Typhus,2023-11-17,India,Kerala,Kochi,949,75,moderate,False,https://news.example/139,Spike after monsoon
OUT-IND-00140,Influenza,16-07-2024,India,Maharashtra,Thane,3166,75,moderate,Unknown,https://news.example/140,
OUT-IND-00141,COVID-19,25-12-2024,India,Kerala,Kozhikode,3193,242,low,True,https://news.example/141,Lab confirmed cases
