campaign_id,country,state,district,start_date,end_date,vaccine_name,target_population,doses_allocated,doses_administered,partner_org,notes
VAC-IND-00001,India,Bihar,Patna,21-02-2023,2023-03-11,COVID-19,healthcare_workers,193561,181676,,
VAC-IND-00002,India,Rajasthan,Alwar,2023-02-24,2023-04-13,Hepatitis B,pregnant_women,143353,87548,WHO,School-based campaign
VAC-IND-00003,India,Uttar Pradesh,Varanasi,2023-11-15,2024-01-05,Typhoid,pregnant_women,24812,16725,Local Health Dept,
VAC-IND-00004,India,West Bengal,Kolkata,23-08-2024,2024-10-04,COVID-19,school_children_5-15,95300,28176, NHM,Door-to-door drive
VAC-IND-00005,India,Kerala,Kannur,2024-07-23,2024-09-17,Polio,school_children_5-15,97540,54501,UNICEF,School-based campaign
VAC-IND-00006,India,Karnataka,Mysuru,2025-08-04,2025-09-16,Influenza,children_0-5,58070,15279,IAP,
VAC-IND-00007,India,Assam,Silchar,2024-03-11,2024-04-08,Influenza,elderly_60+,169019,103239,,Single-day mega camp
VAC-IND-00008,India, WEST BENGAL,Howrah,2024-03-25 04:32:31,2024-04-02,Typhoid,school_children_5-15,29243,11090,Private Clinic,
VAC-IND-00009,India,Gujarat,Bhavnagar,2024-05-29 00:43:46,2024-06-08,Polio,pregnant_women,141263,128993,UNICEF,
VAC-IND-00010,India,Odisha,Rourkela,22-10-2025,26/11/2025,Hepatitis B,elderly_60+,164418,165963,Red Cross,School-based campaign
VAC-IND-00011,India,Rajasthan,Jaipur,2024-10-25,04/11/2024,Hepatitis B,children_0-5,81112,47793,UNICEF,Door-to-door drive
VAC-IND-00012,India,Rajasthan,Jodhpur,2023-09-20,2023-10-28,Influenza,healthcare_workers,138826,83226,NHM,Single-day mega camp
VAC-IND-00013,India,Bihar,Bhagalpur,16-06-2025,2025-07-17,Hepatitis B,healthcare_workers,59403,13258,NHM,
VAC-IND-00014,India,Bihar,Patna,2024-04-13,2024-04-18,Polio,all_adults,19074,8376,NHM,
VAC-IND-00015,India,Gujarat,Rajkot,2024-01-25,2024-03-10,Polio,school_children_5-15,111538,29407,,Reported delay due to rains
VAC-IND-00016,India,Kerala,Kochi,2024-01-28,2024-02-28,Typhoid,children_0-5,48600,26091,State Govt,
VAC-IND-00017,India,Rajasthan,Jaipur,2023-07-11 07:10:26,2023-08-14, DTP,children_0-5,105630,42705,Private Clinic,
VAC-IND-00018,India,Odisha,Sambalpur,2025-09-23,2025-10-14,COVID-19,school_children_5-15,15831,12049,,
VAC-IND-00019,India,Rajasthan,Jodhpur,2023-04-27 02:54:11,2023-05-04, COVID-19,healthcare_workers,177502,141347,NHM,Mass camp at community centre
VAC-IND-00020,India,West Bengal,Bardhaman,2025-12-06,2025-12-25,DTP,elderly_60+,188245,107278,Local Health Dept,
VAC-IND-00021,India,Assam,Tezpur,2023-07-24,2023-08-09,COVID-19,elderly_60+,35222,35908,IAP,
VAC-IND-00022,India,Odisha,Rourkela,2025-12-19,2026-02-12,MMR,children_0-5,174403,70083,UNICEF,
VAC-IND-00023,India, ASSAM,Dibrugarh,2024-12-03,2025-01-15,COVID-19,children_0-5,132989,137497,Private Clinic,
VAC-IND-00024,India,Delhi,North Delhi,27-11-2023,2024-01-04,COVID-19,school_children_5-15,147538,,Red Cross,Reported delay due to rains
VAC-IND-00025,India,Delhi,East Delhi,2023-09-19,2023-10-15,Polio,elderly_60+,10958,5632,UNICEF,Single-day mega camp
VAC-IND-00026,India,Odisha,Cuttack,29-04-2024,2024-06-22,Typhoid,all_adults,108580,65256,NHM,
